,song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
12,aisatsana [102],Aphex Twin,0.26,0.01,4,-32.894,0,0.0359,0.98,0.843,0.131,0.0349,101.39,audio_features,5ljMlD10En5rRGZU0cs2Np,spotify:track:5ljMlD10En5rRGZU0cs2Np,https://api.spotify.com/v1/tracks/5ljMlD10En5rRGZU0cs2Np,https://api.spotify.com/v1/audio-analysis/5ljMlD10En5rRGZU0cs2Np,321880,4,ambient
13,People On Sunday,Domenique Dumont,0.655,0.403,6,-12.927,0,0.0392,0.958,0.946,0.14,0.276,144.02,audio_features,5GY0OnbXEa7rMivlDo13Xl,spotify:track:5GY0OnbXEa7rMivlDo13Xl,https://api.spotify.com/v1/tracks/5GY0OnbXEa7rMivlDo13Xl,https://api.spotify.com/v1/audio-analysis/5GY0OnbXEa7rMivlDo13Xl,225208,4,ambient
14,A Shimmer,Nils Frahm,0.152,0.00559,8,-32.174,0,0.0426,0.956,0.906,0.112,0.0772,195.603,audio_features,09F0zRNSUa0qAWYUksXtXt,spotify:track:09F0zRNSUa0qAWYUksXtXt,https://api.spotify.com/v1/tracks/09F0zRNSUa0qAWYUksXtXt,https://api.spotify.com/v1/audio-analysis/09F0zRNSUa0qAWYUksXtXt,396689,3,ambient
15,Falaise,Floating Points,0.356,0.401,11,-14.475,0,0.0467,0.434,0.789,0.176,0.0397,142.945,audio_features,3rkJH9BaiCWpRY718WTkBP,spotify:track:3rkJH9BaiCWpRY718WTkBP,https://api.spotify.com/v1/tracks/3rkJH9BaiCWpRY718WTkBP,https://api.spotify.com/v1/audio-analysis/3rkJH9BaiCWpRY718WTkBP,234320,5,ambient
16,I Can Almost See You,Hammock,0.0748,0.523,4,-8.069,1,0.0354,0.782,0.866,0.0886,0.0383,74.195,audio_features,11n8LudggXuZXmldSlAadR,spotify:track:11n8LudggXuZXmldSlAadR,https://api.spotify.com/v1/tracks/11n8LudggXuZXmldSlAadR,https://api.spotify.com/v1/audio-analysis/11n8LudggXuZXmldSlAadR,255336,3,ambient
17,Space 1,Nala Sinephro,0.271,0.0744,7,-26.455,0,0.0422,0.968,0.937,0.0574,0.0358,114.437,audio_features,5xYR2G6YOEzX2X9asFUrOE,spotify:track:5xYR2G6YOEzX2X9asFUrOE,https://api.spotify.com/v1/tracks/5xYR2G6YOEzX2X9asFUrOE,https://api.spotify.com/v1/audio-analysis/5xYR2G6YOEzX2X9asFUrOE,248000,4,ambient
18,Clube Da Esquina Nº 2,Milton Nascimento,0.47,0.454,2,-14.921,1,0.0289,0.44,0.424,0.244,0.738,151.519,audio_features,1sdW2whJr8CLa6bMA67LPQ,spotify:track:1sdW2whJr8CLa6bMA67LPQ,https://api.spotify.com/v1/tracks/1sdW2whJr8CLa6bMA67LPQ,https://api.spotify.com/v1/audio-analysis/1sdW2whJr8CLa6bMA67LPQ,218600,4,ambient
19,It Was 9:30 and You Were Beautiful,WMD,0.189,0.0753,2,-23.335,1,0.0328,0.965,0.784,0.101,0.0372,177.539,audio_features,2juufw7FlVjhDb3vtRwJNS,spotify:track:2juufw7FlVjhDb3vtRwJNS,https://api.spotify.com/v1/tracks/2juufw7FlVjhDb3vtRwJNS,https://api.spotify.com/v1/audio-analysis/2juufw7FlVjhDb3vtRwJNS,273118,4,ambient
20,Boreal Kiss Pt. 1,Tim Hecker,0.196,0.0236,5,-25.493,0,0.0429,0.528,0.0845,0.289,0.0894,134.596,audio_features,1i8MaQec4fQXj1enX8ZWF4,spotify:track:1i8MaQec4fQXj1enX8ZWF4,https://api.spotify.com/v1/tracks/1i8MaQec4fQXj1enX8ZWF4,https://api.spotify.com/v1/audio-analysis/1i8MaQec4fQXj1enX8ZWF4,208040,4,ambient
21,#20,Aphex Twin,0.108,0.0419,9,-26.441,0,0.0418,0.971,0.909,0.052,0.0429,69.511,audio_features,0Pg0frSTti7d8Ck1OmOYkz,spotify:track:0Pg0frSTti7d8Ck1OmOYkz,https://api.spotify.com/v1/tracks/0Pg0frSTti7d8Ck1OmOYkz,https://api.spotify.com/v1/audio-analysis/0Pg0frSTti7d8Ck1OmOYkz,255333,3,ambient
